base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
151182667325,1641935908,21000,157000000000,21000,157000000000,157000000000,5817332675
183817486123,1636493591,21000,185317486123,21000,196839242500,1500000000,1500000000
,1620171561,21000,58000000000,21000,,,
,1618164978,21000,80000000000,21000,,,
,1621497387,21000,75000000000,21000,,,
95790114217,1637927989,21000,105940615580,21000,,,
104624999925,1630767434,21000,111519253838,21000,160526092899,6894253913,6894253913
163257818568,1636623464,21000,165139618568,21000,187920123704,1881800000,1881800000
,1618175934,21000,70000000000,21000,,,
,1621487841,22000,118000000000,21000,,,
,1621533836,21000,102000000000,21000,,,
161635043587,1637918866,21000,163516843587,21000,167593330158,1881800000,1881800000
55802755208,1645243119,21000,57302755208,21000,58208360819,1500000000,1500000000
67877875918,1631390380,21000,69817875918,21000,78705484627,1940000000,1940000000
94382993372,1637911954,21000,95882993372,21000,97375248772,1500000000,1500000000
130446067355,1637914407,21000,131946067355,21000,137709451584,1500000000,1500000000
148492791147,1641892137,21000,149992791147,21000,169142478249,1500000000,1500000000
126643708138,1641898951,21000,128143708138,21000,159078314708,1500000000,1500000000
161032430075,1636623881,21000,162914230075,21000,229659564106,1881800000,1881800000
121076772043,1636492197,21000,124076772043,21000,189000000000,3000000000,3000000000
,1620098034,21000,60000000000,21000,,,
106803507026,1637926499,21000,108303507026,21000,135625873070,1500000000,1500000000
96105316769,1637937741,21000,97605316769,21000,105259067478,1500000000,1500000000
96105316769,1637937741,21000,97605316769,21000,98174802147,1500000000,1500000000
24876213589,1629365513,21000,26000000000,21000,,,
200175411985,1641934851,21000,202675411985,21000,368355187622,2500000000,2500000000
63050426591,1630120864,21000,64550426591,21000,103256384107,1500000000,1500000000
134412678110,1636486229,21000,135912678110,21000,171081252720,1500000000,1500000000
,1618148850,21000,90000000000,21000,,,
,1618176738,21000,63100000000,21000,,,
89171291749,1637907729,21000,90671291749,21000,102961054053,1500000000,1500000000
71736248442,1637911821,21000,73236248442,21000,89958199914,1500000000,1500000000
,1625359089,22000,38000000000,21000,,,
,1622913177,21000,30000000000,21000,,,
162473849139,1636748907,21000,167909698268,21000,167909698268,21500000000,5435849129
