base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
165094807639,1642194503,67634,166594807639,67634,224037282277,1500000000,1500000000
65938785228,1643980649,60862,67438785228,56062,72722202402,1500000000,1500000000
89859741320,1644941765,343743,91359741320,343743,91628830702,1500000000,1500000000
401442227688,1642121070,55717,403382227688,50917,549210835959,1940000000,1940000000
181159196113,1642178594,55696,182659196113,50896,230112719194,1500000000,1500000000
33136692482,1644913780,55636,34636692482,50836,47345095292,1500000000,1500000000
97961952878,1641606708,331648,99461952878,331648,119908549427,1500000000,1500000000
52005234109,1648166661,336859,53505234109,336859,54067669480,1500000000,1500000000
114462127315,1641611787,49495,115962127315,49495,159288841033,1500000000,1500000000
112286932502,1642159532,64717,113786932502,64717,138208147912,1500000000,1500000000
138735574168,1642158434,55717,140235574168,50917,185187394478,1500000000,1500000000
28358109931,1648183742,316606,29858109931,316606,33267863380,1500000000,1500000000
118652139802,1641682151,55580,120152139802,50780,146173054434,1500000000,1500000000
74792409245,1641634413,55705,76292409245,50905,87097429692,1500000000,1500000000
74792409245,1641634413,331189,76792409245,331189,91021326879,2000000000,2000000000
63883747155,1641648496,67634,65383747155,62834,84274077278,1500000000,1500000000
58264862236,1649947820,326835,59764862236,320366,84152894398,1500000000,1500000000
69887604151,1643979443,67646,71387604151,62846,82378823342,1500000000,1500000000
117462032501,1643992794,67646,119462032501,62846,153245373337,2000000000,2000000000
65750543468,1641634242,340063,67250543468,340063,70431885903,1500000000,1500000000
62653072663,1641655363,325040,64153072663,325040,68960249913,1500000000,1500000000
34760851599,1649923636,55705,36260851599,50905,38562671533,1500000000,1500000000
88502945491,1643950059,330671,90002945491,330671,92870716209,1500000000,1500000000
134105158671,1642147121,60862,136105158671,56062,198177549575,2000000000,2000000000
33907065877,1649911462,54724,35557065877,49924,36200000000,1650000000,1650000000
60852510941,1649966676,67634,62623096561,62834,82979491472,1770585620,1770585620
60852510941,1649966676,48603,62677856941,43803,77304499025,1825346000,1825346000
99288229429,1649956370,67646,100788229429,62846,126398208607,1500000000,1500000000
26401539959,1649895933,64741,27901539959,59941,37437873614,1500000000,1500000000
73639238286,1649966949,326107,75159700403,326107,90220765635,1520462117,1520462117
156178479746,1643990767,55612,157678479746,55612,199565358422,1500000000,1500000000
187629459692,1641673177,54848,189417713200,50048,280892788855,1788253508,1788253508
115246539964,1641601511,67634,116746539964,62834,151507235592,1500000000,1500000000
122969457649,1642150707,60114,124469457649,55314,127538764748,1500000000,1500000000
116841344995,1641608915,60862,118341344995,56062,121370676298,1500000000,1500000000
69509574627,1641627480,333730,71009574627,333730,94340183975,1500000000,1500000000
69509574627,1641627480,334332,71009574627,334332,97240017294,1500000000,1500000000
188291819715,1642170958,66814,189791819715,57214,266102084030,1500000000,1500000000
29007626458,1649927722,60030,30507626458,60030,32015190553,1500000000,1500000000
137089430433,1643993443,60862,138589430433,56062,180396290329,1500000000,1500000000
123424712104,1641657029,67646,124924712104,62846,140357579039,1500000000,1500000000
115272812684,1641684499,122029,116772812684,122029,122678160034,1500000000,1500000000
134283851913,1642151241,60862,136636101913,56062,187926333895,2352250000,2352250000
27427888559,1648184205,55580,28927888559,55580,39535604728,1500000000,1500000000
77259073935,1649899980,55680,78759073935,50880,85739070680,1500000000,1500000000
142601076657,1642191661,319795,144101076657,319795,182628552258,1500000000,1500000000
186897551146,1642195047,67634,188397551146,62834,194030695475,1500000000,1500000000
47309435193,1648166640,321873,48809435193,321873,52338083528,1500000000,1500000000
109975766238,1641680738,326123,111475766238,326123,178331332487,1500000000,1500000000
81260371774,1641641168,52940,82760371774,48140,83442254592,1500000000,1500000000
