base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
14243069213,1647079411,215887,15743069213,163754,16493293432,1500000000,1500000000
31570123047,1647043599,284852,33070123047,164706,34751636765,1500000000,1500000000
31570123047,1647043599,284852,33070123047,231806,34751636765,1500000000,1500000000
26813574416,1647103482,215875,27986944509,163742,27986944509,1500000000,1173370093
26813574416,1647103482,284897,27986944509,231850,27986944509,1500000000,1173370093
26813574416,1647103482,243561,28813574416,155505,33000000000,2000000000,2000000000
19715665784,1647093711,284816,21215665784,231770,23884376674,1500000000,1500000000
27946666246,1647128294,251540,29107013117,198947,29107013117,1500000000,1160346871
11670677242,1647088915,276541,13170677242,223608,20377861044,1500000000,1500000000
11221473759,1647087893,215887,12721473759,163754,15362731985,1500000000,1500000000
21184028127,1647098318,259845,23184028127,207167,31970235706,2000000000,2000000000
21435917960,1647047103,215887,22435917960,163754,22624103792,1000000000,1000000000
13923194653,1647081977,215887,15423194653,163754,18200801917,1500000000,1500000000
16811103726,1647065076,215887,18311103726,163754,18323731319,1500000000,1500000000
30257118264,1647398861,284815,31757118264,231768,37239084238,1500000000,1500000000
13223236602,1647075173,215887,14723236602,163754,18234353680,1500000000,1500000000
28193933222,1647392899,215887,29349052044,163754,29349052044,1500000000,1155118822
28193933222,1647392899,215887,29349052044,163754,29349052044,1500000000,1155118822
26155785582,1647122866,215887,27655785582,163754,30708441598,1500000000,1500000000
13205834924,1647087418,251588,14705834924,198995,18479551842,1500000000,1500000000
19599359462,1647068227,215887,21099359462,163754,25332268102,1500000000,1500000000
15103565763,1647073398,215887,16103565763,163754,17466958641,1000000000,1000000000
12101965780,1647081557,215887,13454522295,163754,13454522295,1500000000,1352556515
32291531294,1647090506,215887,33950390153,163754,46680431837,1658858859,1658858859
12202725839,1647067452,215887,13349975962,163754,15222819088,1147250123,1147250123
29131966258,1647062739,215887,30272858129,163754,30272858129,1500000000,1140891871
60887157784,1647448547,284903,62387157784,231855,86108049228,1500000000,1500000000
35165740712,1647439102,215887,36665740712,163754,39592409727,1500000000,1500000000
