base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
69341479154,1648747738,21000,70359658775,21000,70359658775,70359658775,1018179621
242977166435,1644970408,21000,244437581422,21000,244437581422,244437581422,1460414987
30256094788,1648313885,21000,31377392060,21000,31377392060,31377392060,1121297272
24834105959,1650611848,21000,26407853917,21000,26407853917,26407853917,1573747958
38250648745,1646294792,21000,41014995599,21000,41014995599,41014995599,2764346854
36252335151,1646343856,21000,37587785589,21000,37587785589,37587785589,1335450438
52119863994,1648754043,21000,55629440163,21000,55629440163,55629440163,3509576169
42659399262,1648688242,21000,48851749924,21000,48851749924,48851749924,6192350662
42362490579,1648768762,21000,45067057174,21000,45067057174,45067057174,2704566595
35065803741,1648715462,21000,37532610180,21000,37532610180,37532610180,2466806439
75453738111,1645055298,21000,89418792151,21000,89418792151,89418792151,13965054040
40901064012,1648254311,21000,42155955208,21000,42155955208,1500000000,1254891196
20870860290,1648331077,21000,22251233562,21000,22251233562,22251233562,1380373272
38096200917,1650604393,21000,39596200917,21000,44537292555,1500000000,1500000000
45882213496,1650586052,21000,51034506734,21000,51034506734,51034506734,5152293238
26182536709,1650808597,21000,27222641967,21000,27222641967,27222641967,1040105258
17798975879,1650769230,21000,22798975879,21000,25537809032,5000000000,5000000000
34738435594,1649067255,21000,39826078899,21000,39826078899,39826078899,5087643305
38011426205,1649073503,21000,39045426205,21000,41508817537,1034000000,1034000000
26947382450,1648725596,21000,31608489409,21000,31608489409,31608489409,4661106959
50195756339,1644988502,21000,57161622597,21000,57161622597,57161622597,6965866258
143113104991,1644971151,21000,146642844459,21000,146642844459,146642844459,3529739468
32173162714,1648322544,21000,37989169816,21000,37989169816,37989169816,5816007102
24939289190,1648315073,21000,25628013782,21000,25628013782,25628013782,688724592
34629738591,1648330039,21000,36629738591,21000,43000000000,2000000000,2000000000
45001463099,1650603590,21000,47001463099,21000,48595526539,2000000000,2000000000
29720169413,1649070983,21000,34567291801,21000,34567291801,34567291801,4847122388
48439216052,1649073988,21000,53412669114,21000,53412669114,40211887374,4973453062
36314422412,1646269964,21000,41949288820,21000,41949288820,41949288820,5634866408
40707907444,1645055922,21000,48522131562,21000,48522131562,48522131562,7814224118
46661665884,1645002317,21000,50751806640,21000,50751806640,50751806640,4090140756
16431678803,1648296414,21000,21770942412,21000,21770942412,21770942412,5339263609
39769070463,1650600306,21000,43601647713,21000,43601647713,43601647713,3832577250
151859376303,1650663147,21000,168663881452,21000,168663881452,168663881452,16804505149
44558905749,1650822019,21000,46067139416,21000,46067139416,46067139416,1508233667
75546489906,1646318776,21000,81220746096,21000,81220746096,81220746096,5674256190
93269086421,1645016683,21000,106991558122,21000,106991558122,106991558122,13722471701
99545335053,1650663670,21000,101045335053,21000,133144410117,1500000000,1500000000
60507564562,1650591875,21000,74757941946,21000,74757941946,74757941946,14250377384
36086805452,1650630515,21000,45700000000,21000,,,
56941863409,1650830799,21000,59441863409,21000,79851616992,2500000000,2500000000
18075086466,1650786368,21000,19849736909,21000,19849736909,19849736909,1774650443
31421937252,1649071242,21000,31722656374,21000,31722656374,31722656374,300719122
31421937252,1649071242,21000,34860964424,21000,34860964424,34860964424,3439027172
71590844111,1649106106,21000,75055738310,21000,75055738310,75055738310,3464894199
49767602879,1649066887,21000,53096737230,21000,53096737230,53096737230,3329134351
33357983916,1646313852,21000,36186748861,21000,36186748861,36186748861,2828764945
56929262403,1646333004,21000,58177799617,21000,58177799617,58177799617,1248537214
38851172597,1648710633,21000,47175564014,21000,47175564014,47175564014,8324391417
30278001059,1648314839,21000,32159801059,21000,32593463003,1881800000,1881800000
38090322030,1650630854,21000,41762794417,21000,41762794417,41762794417,3672472387
45394008817,1650669971,21000,51795078818,21000,51795078818,51795078818,6401070001
39592208397,1650818861,21000,42256827450,21000,42256827450,42256827450,2664619053
67585060107,1649032906,21000,68257562064,21000,68257562064,1500000000,672501957
49330685180,1645034232,21000,51925863387,21000,51925863387,51925863387,2595178207
49330685180,1645034232,21000,51925863387,21000,51925863387,51925863387,2595178207
47599819195,1644978402,21000,56968730060,21000,56968730060,56968730060,9368910865
24751539695,1648304021,21000,28079845345,21000,28079845345,28079845345,3328305650
41157409282,1648323575,21000,44024536081,21000,44024536081,44024536081,2867126799
51044718502,1650823580,21000,65382485360,21000,65382485360,65382485360,14337766858
43772900763,1650818627,21000,46074935804,21000,46074935804,46074935804,2302035041
